City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Manavalakurichi,IN,8.1333,77.3,78.89,86,100,8.14,overcast clouds
259,Buzmeyin,TM,38.0507,58.2056,55.13,28,0,6.91,clear sky
260,Fairbanks,US,64.8378,-147.7164,35.31,95,90,1.01,light snow
261,Gorontalo,ID,0.5412,123.0595,75.81,93,100,3.31,overcast clouds
262,Samba,IN,32.5667,75.1167,76.12,67,0,3.38,clear sky
263,Niamey,NE,13.5137,2.1098,91.69,46,0,8.05,clear sky
264,Alghero,IT,40.5589,8.3181,64.49,88,0,2.3,clear sky
265,Swidwin,PL,53.7746,15.7767,62.96,59,100,12.03,overcast clouds
266,Hamilton,US,39.1834,-84.5333,72.73,86,1,1.01,clear sky
267,Byron Bay,AU,-28.65,153.6167,76.05,49,29,11.43,scattered clouds
268,Ngunguru,NZ,-35.6167,174.5,64.17,96,100,14.83,light rain
269,Tyup,KG,42.7276,78.3648,41.92,67,100,5.66,overcast clouds
270,Stromness,GB,58.965,-3.296,51.87,82,100,20.0,overcast clouds
271,Amapa,BR,1.0,-52.0,84.02,50,100,5.26,overcast clouds
272,Nampula,MZ,-15.1165,39.2666,71.55,73,0,16.11,clear sky
273,Resistencia,AR,-27.4606,-58.9839,65.08,48,0,12.66,clear sky
274,Tautira,PF,-17.7333,-149.15,82.42,75,16,9.62,few clouds
275,Svetlaya,RU,46.5389,138.3297,53.73,83,100,4.36,overcast clouds
276,Faanui,PF,-16.4833,-151.75,78.78,72,34,9.66,scattered clouds
277,Avera,US,33.194,-82.5271,84.07,52,95,1.83,overcast clouds
278,Ovsyanka,RU,55.9575,92.5519,25.77,76,87,2.86,overcast clouds
279,Port Lincoln,AU,-34.7333,135.8667,53.87,63,43,28.27,scattered clouds
280,Shenjiamen,CN,29.9576,122.298,77.38,89,2,13.13,clear sky
281,Solwezi,ZM,-12.1688,26.3894,63.99,88,100,3.44,light rain
282,Nardaran,AZ,40.5561,50.0056,62.24,82,40,2.3,scattered clouds
283,Tura,IN,25.5198,90.2201,70.75,98,80,3.98,broken clouds
284,Hami,CN,42.8,93.45,45.88,34,0,2.59,clear sky
285,Huarmey,PE,-10.0681,-78.1522,66.06,77,72,12.21,broken clouds
286,Esperance,AU,-33.8667,121.9,42.64,71,45,11.12,scattered clouds
287,Cabo San Lucas,MX,22.8909,-109.9124,88.9,65,20,9.22,few clouds
288,Inzhavino,RU,52.3185,42.4937,40.68,83,11,6.42,few clouds
289,Kushima,JP,31.4583,131.2333,72.91,73,0,6.38,clear sky
290,Alice Springs,AU,-23.7,133.8833,53.15,50,0,0.0,clear sky
291,Awjilah,LY,29.1081,21.2869,73.2,44,0,5.97,clear sky
292,Ridgecrest,US,35.6225,-117.6709,91.65,11,1,1.99,clear sky
293,Krsko,SI,45.9591,15.4917,63.73,88,2,5.75,clear sky
294,Kavaratti,IN,10.5669,72.642,81.41,79,100,10.87,light rain
295,Buraydah,SA,26.326,43.975,84.65,13,8,7.83,clear sky
296,Saint Anthony,US,45.0205,-93.218,73.89,56,1,4.0,clear sky
297,Krasnoselkup,RU,65.7,82.4667,20.52,88,38,9.46,scattered clouds
298,Narwana,IN,29.6167,76.1167,84.22,56,76,4.27,broken clouds
299,Copacel,RO,46.9833,22.1667,51.12,55,23,4.34,few clouds
300,Karuzi,BI,-3.125,30.1333,61.32,93,100,1.99,overcast clouds
301,Lorengau,PG,-2.0226,147.2712,82.18,75,93,5.26,overcast clouds
302,Carndonagh,IE,55.25,-7.2667,45.82,95,100,6.38,overcast clouds
303,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,88,20,6.06,few clouds
304,Winneba,GH,5.3511,-0.6231,81.07,91,46,9.26,scattered clouds
305,Leningradskiy,RU,69.3833,178.4167,19.29,83,66,4.0,broken clouds
306,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,90,3.44,overcast clouds
307,Chokurdakh,RU,70.6333,147.9167,22.1,96,98,8.99,light snow
308,Camacha,PT,33.0833,-16.3333,71.53,88,40,8.05,scattered clouds
309,Svetlogorsk,BY,52.6333,29.7333,44.38,75,78,7.31,broken clouds
310,San Quintin,MX,30.4833,-115.95,78.58,46,100,11.25,overcast clouds
311,Kalininsk,RU,51.5,44.4758,38.62,78,11,5.84,few clouds
312,Nalut,LY,30.3333,10.85,77.05,31,0,10.11,clear sky
313,Bereda,ES,43.2686,-7.5406,53.91,100,57,3.18,broken clouds
314,Turbo,CO,8.0937,-76.7269,81.0,87,80,8.55,moderate rain
315,Pechenga,RU,69.5259,31.1703,47.26,78,100,20.92,overcast clouds
316,Fredericton,CA,45.9454,-66.6656,55.36,73,90,1.01,overcast clouds
317,Tabat,ID,-2.635,115.2274,73.85,97,100,1.74,light rain
318,Yucca Valley,US,34.1142,-116.4322,90.19,17,64,5.01,broken clouds
319,Susangerd,IR,31.5608,48.1831,89.62,14,0,9.95,clear sky
320,Nakhon Phanom,TH,17.3333,104.4167,71.11,90,16,2.24,few clouds
321,Senador Pompeu,BR,-5.5881,-39.3717,87.13,32,2,4.92,clear sky
322,Labuhan,ID,-6.8844,112.2051,77.94,75,100,12.66,overcast clouds
323,Lagos,NG,6.5833,3.75,76.12,93,68,3.27,moderate rain
324,Khandyga,RU,62.6667,135.6,25.95,92,7,2.77,clear sky
325,Salinas,US,36.6777,-121.6555,99.99,45,1,14.97,clear sky
326,Akyab,MM,20.15,92.9,79.36,84,61,4.59,broken clouds
327,Santa Isabel,BR,-23.3156,-46.2214,65.98,96,85,5.01,moderate rain
328,Maceio,BR,-9.6658,-35.7353,80.04,83,0,8.05,clear sky
329,San Luis,AR,-33.295,-66.3356,61.03,20,1,9.24,clear sky
330,Bridlington,GB,54.0831,-0.1919,53.89,80,1,17.81,clear sky
331,Ushumun,RU,52.7833,126.5333,28.4,79,4,6.55,clear sky
332,Port Augusta,AU,-32.5,137.7667,56.71,62,4,13.65,clear sky
333,Faya,SA,18.3851,42.4509,62.71,43,73,0.87,broken clouds
334,Beira,MZ,-19.8436,34.8389,78.89,89,75,4.61,broken clouds
335,Boguchany,RU,58.3814,97.4531,26.89,95,66,3.09,broken clouds
336,Eenhana,NA,-17.4667,16.3333,67.75,16,0,7.36,clear sky
337,Celestun,MX,20.8667,-90.4,84.88,68,56,15.21,broken clouds
338,Carupano,VE,10.6678,-63.2585,80.1,82,18,11.72,few clouds
339,Lamu,KE,-2.2717,40.902,75.42,81,47,11.16,scattered clouds
340,Pasni,PK,25.2631,63.471,80.92,86,77,13.06,broken clouds
341,Husavik,IS,66.0449,-17.3389,42.71,98,100,21.79,overcast clouds
342,Iquitos,PE,-3.7481,-73.2472,84.24,70,40,3.44,scattered clouds
343,Namibe,AO,-15.1961,12.1522,60.93,87,41,6.29,scattered clouds
344,Flinders,AU,-34.5833,150.8552,65.05,56,52,5.14,broken clouds
345,Isangel,VU,-19.55,169.2667,80.71,89,75,2.3,broken clouds
346,Reconquista,AR,-29.15,-59.65,64.51,26,94,13.73,light rain
347,Salalah,OM,17.0151,54.0924,80.69,89,75,6.91,broken clouds
