City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Hobyo,SO,78.28,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
121,Pochutla,MX,91.22,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
125,Abu Zabad,SD,79.7,broken clouds,12.35,29.25,حامد محمد نور
129,Lompoc,US,95.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
133,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
140,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
142,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
143,Liberty,US,86.32,clear sky,31.8335,-81.5004,Sasser’s Mobile Home Park
145,Manokwari,ID,80.67,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
147,Mountain Home,US,79.93,clear sky,43.133,-115.6912,Mountain Home Inn
148,Saint-Louis,SN,91.04,broken clouds,16.3333,-15.0,
149,Taoudenni,ML,95.77,broken clouds,22.6783,-3.9836,
150,Andros Town,BS,84.16,few clouds,24.7,-77.7667,Hanks place
152,Itarema,BR,79.18,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
153,Les Cayes,HT,79.79,overcast clouds,18.2,-73.75,Villa Orphee
154,Marsh Harbour,BS,80.28,clear sky,26.5412,-77.0636,Abaco Beach Resort
162,Naze,JP,77.07,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
165,Kahului,US,87.06,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
167,Papagaios,BR,83.84,overcast clouds,-19.4492,-44.7478,Hotel Mac Palace
168,Alugan,PH,79.74,moderate rain,12.2188,125.4808,JM Lodge
170,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
180,Tan An,VN,78.82,overcast clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
182,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
184,Laguna,US,93.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
185,Sur,OM,82.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
186,Monrovia,LR,78.42,broken clouds,6.3005,-10.7969,Sunset Inn
